component,manufacturer,system_type,connection_type,fuel_type,draft_hood_style,flue_type,tankless_coil,selection_option,input_mbh,min_btu,max_btu,pipe_size,quantity,model_number,part_number,description,notes
Boiler,Weil-McLain,Any,Any,Natural Gas,Standard Draft Hood,N/A,N/A,N/A,166,113000,141000,N/A,1,CGa-6,W381359308,Weil McLain Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Natural Gas,Standard Draft Hood,N/A,N/A,N/A,200,141000,170000,N/A,1,CGa-7,W381359309,Weil McLain Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Natural Gas,Standard Draft Hood,N/A,N/A,N/A,233,170000,198000,N/A,1,CGa-8,W381359310 + W450021246,Weil McLain Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,Proselect Force,Any,Any,Oil,,Rear Flue,Without Tankless Coil,N/A,84,0,74000,N/A,1,FORCEOIL084EGBHDR,FORCEOIL084EGBHDR,"Oil boiler, rear flue, without tankless coil.",Verify final selection against manufacturer submittal and project requirements.
Boiler,Proselect Force,Any,Any,Oil,,Rear Flue,Without Tankless Coil,N/A,115,74000,101000,N/A,1,FORCEOIL115EGBHDR,FORCEOIL115EGBHDR,"Oil boiler, rear flue, without tankless coil.",Verify final selection against manufacturer submittal and project requirements.
Boiler,Proselect Force,Any,Any,Oil,,Rear Flue,Without Tankless Coil,N/A,140,101000,123000,N/A,1,FORCEOIL140EGBHDR,FORCEOIL140EGBHDR,"Oil boiler, rear flue, without tankless coil.",Verify final selection against manufacturer submittal and project requirements.
Boiler,Proselect Force,Any,Any,Oil,,Rear Flue,Without Tankless Coil,N/A,182,123000,160000,N/A,1,FORCEOIL182EGBHDR,FORCEOIL182EGBHDR,"Oil boiler, rear flue, without tankless coil.",Verify final selection against manufacturer submittal and project requirements.
Boiler,Proselect Force,Any,Any,Oil,,Top Flue,Without Tankless Coil,N/A,140,0,122000,N/A,1,FORCEVFO3E,FORCEVFO3E,"Oil boiler, top flue.",Verify final selection against manufacturer submittal and project requirements.
Boiler,Proselect Force,Any,Any,Oil,,Top Flue,Without Tankless Coil,N/A,210,122000,182000,N/A,1,FORCEVFO4E,FORCEVFO4E,"Oil boiler, top flue.",Verify final selection against manufacturer submittal and project requirements.
Boiler,Proselect Force,Any,Any,Oil,,Top Flue,Without Tankless Coil,N/A,266,182000,231000,N/A,1,FORCEVFO5E,FORCEVFO5E,"Oil boiler, top flue.",Verify final selection against manufacturer submittal and project requirements.
Boiler,Proselect Force,Any,Any,Oil,,Top Flue,With Tankless Coil,N/A,140,0,122000,N/A,1,FORCEVFO3ET,FORCEVFO3ET,"Oil boiler, top flue.",Verify final selection against manufacturer submittal and project requirements.
Boiler,Proselect Force,Any,Any,Oil,,Top Flue,With Tankless Coil,N/A,210,122000,182000,N/A,1,FORCEVFO4ET,FORCEVFO4ET,"Oil boiler, top flue.",Verify final selection against manufacturer submittal and project requirements.
Boiler,Proselect Force,Any,Any,Oil,,Top Flue,With Tankless Coil,N/A,266,182000,231000,N/A,1,FORCEVFO5ET,FORCEVFO5ET,"Oil boiler, top flue.",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Top Flue,Without Tankless Coil,N/A,112,0,98000,N/A,1,WGO-3R,W386701013 + W521100040,"Oil boiler, top or rear flue, without tankless coil",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Top Flue,Without Tankless Coil,N/A,140,98000,122000,N/A,1,WGO-4R,W386701014 + W521100042,"Oil boiler, top or rear flue, without tankless coil",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Top Flue,Without Tankless Coil,N/A,168,122000,147000,N/A,1,WGO-5R,W386701015 + W521100044,"Oil boiler, top or rear flue, without tankless coil",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Top Flue,Without Tankless Coil,N/A,196,147000,171000,N/A,1,WGO-6R,W386701016 + W521100046,"Oil boiler, top or rear flue, without tankless coil",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Rear Flue,Without Tankless Coil,N/A,112,0,98000,N/A,1,WGO-3R,W386701013 + W521100040,"Oil boiler, top or rear flue, without tankless coil",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Rear Flue,Without Tankless Coil,N/A,140,98000,122000,N/A,1,WGO-4R,W386701014 + W521100042,"Oil boiler, top or rear flue, without tankless coil",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Rear Flue,Without Tankless Coil,N/A,168,122000,147000,N/A,1,WGO-5R,W386701015 + W521100044,"Oil boiler, top or rear flue, without tankless coil",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Rear Flue,Without Tankless Coil,N/A,196,147000,171000,N/A,1,WGO-6R,W386701016 + W521100046,"Oil boiler, top or rear flue, without tankless coil",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Top Flue,With Tankless Coil,N/A,112,0,98000,N/A,1,WTGO-3R,W386701027 + W521100040,"Oil boiler, top or rear flue, with tankless coil",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Top Flue,With Tankless Coil,N/A,140,98000,122000,N/A,1,WTGO-4R,W386701029 + W521100042,"Oil boiler, top or rear flue, with tankless coil",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Top Flue,With Tankless Coil,N/A,168,122000,147000,N/A,1,WTGO-5R,W386701030 + W521100044,"Oil boiler, top or rear flue, with tankless coil",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Top Flue,With Tankless Coil,N/A,196,147000,171000,N/A,1,WTGO-6R,W386701031 + W521100046,"Oil boiler, top or rear flue, with tankless coil",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Rear Flue,With Tankless Coil,N/A,112,0,98000,N/A,1,WTGO-3R,W386701027 + W521100040,"Oil boiler, top or rear flue, with tankless coil",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Rear Flue,With Tankless Coil,N/A,140,98000,122000,N/A,1,WTGO-4R,W386701029 + W521100042,"Oil boiler, top or rear flue, with tankless coil",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Rear Flue,With Tankless Coil,N/A,168,122000,147000,N/A,1,WTGO-5R,W386701030 + W521100044,"Oil boiler, top or rear flue, with tankless coil",Verify final selection against manufacturer submittal and project requirements.
Boiler,Weil-McLain,Any,Any,Oil,,Rear Flue,With Tankless Coil,N/A,196,147000,171000,N/A,1,WTGO-6R,W386701031 + W521100046,"Oil boiler, top or rear flue, with tankless coil",Verify final selection against manufacturer submittal and project requirements.
Fill Valve / Backflow Preventer,Bell & Gossett,Any,Any,N/A,,N/A,N/A,Bell & Gossett,N/A,0,5000000,"1/2""",2,B110192LF + W9DM3D,B110192LF + W9DM3D,"Bell & Gossett, 1/2 inch connection.",Verify final selection against manufacturer submittal and project requirements.
Fill Valve / Backflow Preventer,Caleffi,Any,Any,N/A,,N/A,N/A,Caleffi,N/A,0,5000000,"1/2""",1,C573002A,C573002A,"Caleffi, 1/2 inch connection.",Verify final selection against manufacturer submittal and project requirements.
Fill Valve / Backflow Preventer,Resideo,Any,Any,N/A,,N/A,N/A,Resideo (traditional),N/A,0,5000000,"1/2""",1,HFM911,HFM911,"Resideo (traditional), 1/2 inch connection.",Verify final selection against manufacturer submittal and project requirements.
Fill Valve / Backflow Preventer,Resideo,Any,Any,N/A,,N/A,N/A,Resideo (combination),N/A,0,5000000,"1/2""",1,HNK300S100,HNK300S100,"Resideo (combination), 1/2 inch connection.",Verify final selection against manufacturer submittal and project requirements.
Fill Valve / Backflow Preventer,Taco,Any,Any,N/A,,N/A,N/A,Taco (combination),N/A,0,5000000,"1/2""",1,T3450T2,T3450T2,"Taco (combination), 1/2 inch connection.",Verify final selection against manufacturer submittal and project requirements.
Fill Valve / Backflow Preventer,Taco,Any,Any,N/A,,N/A,N/A,Taco (old style),N/A,0,5000000,"1/2""",2,T3293 + W9DM3D,T3293 + W9DM3D,"Taco (old style), 1/2 inch connection.",Verify final selection against manufacturer submittal and project requirements.
Mixing Valve,Caleffi,Any,Press,N/A,,N/A,N/A,N/A,N/A,0,5000000,"3/4""",1,C521516A,C521516A,"3/4"" Press Mixing Valve w/ Gauge",Verify final selection against manufacturer submittal and project requirements.
Mixing Valve,Caleffi,Any,Sweat,N/A,,N/A,N/A,N/A,N/A,0,5000000,"3/4""",1,C521519A,C521519A,"3/4"" Sweat Mixing Valve w/ Gauge",Verify final selection against manufacturer submittal and project requirements.
Oil Filter,General Filter,Any,Any,N/A,,N/A,N/A,N/A,N/A,0,5000000,"3/8""",1,1A-25B,GEN1300,1A-25B Standard Oil Filter,Verify final selection against manufacturer submittal and project requirements.
Oil Filter,Tigerloop Ultra,Any,Any,N/A,,N/A,N/A,N/A,N/A,0,5000000,"1/4""",1,S220-8,WS2208,Tigerloop Ultra Oil De-aerator and Spin-On Filter,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Low-profile,N/A,N/A,N/A,38,0,32000,N/A,1,X-202-NGH,UX202NGH,X2 Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Low-profile,N/A,N/A,N/A,70,32000,59000,N/A,1,X-203-NGH,UX203NGH,X2 Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Low-profile,N/A,N/A,N/A,105,59000,88000,N/A,1,X-204-NGH,UX204NGH,X2 Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Low-profile,N/A,N/A,N/A,140,88000,117000,N/A,1,X-205-NGH,UX205NGH,X2 Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Low-profile,N/A,N/A,N/A,175,117000,146000,N/A,1,X-206-NGH,UX206NGH,X2 Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Low-profile,N/A,N/A,N/A,210,146000,176000,N/A,1,X-207-NGH,UX207NGH,X2 Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Low-profile,N/A,N/A,N/A,245,176000,205000,N/A,1,X-208-NGH,UX208NGH,X2 Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Low-profile,N/A,N/A,N/A,280,205000,234000,N/A,1,X-209-NGH,UX209NGH,X2 Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Standard Draft Hood,N/A,N/A,N/A,38,0,32000,N/A,1,202E-NG0,U202ENG0,Series 2E Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Standard Draft Hood,N/A,N/A,N/A,69,32000,58000,N/A,1,203E-NG0,U203ENG0,Series 2E Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Standard Draft Hood,N/A,N/A,N/A,103,58000,87000,N/A,1,204E-NG0,U204ENG0,Series 2E Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Standard Draft Hood,N/A,N/A,N/A,138,87000,116000,N/A,1,205E-NG0,U205ENG0,Series 2E Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Standard Draft Hood,N/A,N/A,N/A,172,116000,145000,N/A,1,206E-NG0,U206ENG0,Series 2E Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Standard Draft Hood,N/A,N/A,N/A,207,145000,174000,N/A,1,207E-NG0,U207ENG0,Series 2E Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Standard Draft Hood,N/A,N/A,N/A,241,174000,202000,N/A,1,208E-NG0,U208ENG0,Series 2E Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Boiler,US Boiler,Any,Any,Natural Gas,Standard Draft Hood,N/A,N/A,N/A,276,202000,232000,N/A,1,209E-NG0,U209ENG0,Series 2E Natural gas boiler.,Verify final selection against manufacturer submittal and project requirements.
Fill Valve / Backflow Preventer,Watts,Any,Any,N/A,,N/A,N/A,Watts (Threaded),N/A,0,5000000,"1/2""",1,WB911TM3D,WB911TM3D,Watts 1/2 Fill with BFP (Threaded),Verify final selection against manufacturer submittal and project requirements.
Fill Valve / Backflow Preventer,Watts,Any,Any,N/A,,N/A,N/A,Watts (Sweat),N/A,0,5000000,"1/2""",1,WB911SM3D,WB911SM3D,Watts 1/2 Fill with BFP (Sweat),Verify final selection against manufacturer submittal and project requirements.
Fill Valve / Backflow Preventer,Watts,Any,Any,N/A,,N/A,N/A,Watts (Press),N/A,0,5000000,"1/2""",1,WB911TM3PRESSD,WB911TM3PRESSD,Watts 1/2 Fill with BFP (Press),Verify final selection against manufacturer submittal and project requirements.
